name,generic_name,category,unit,description,side_effect,source_url
Alhemo (Concizumab-mtci) for Injection),concizumab-mtci) for injection,How Do TFPI Neutralizing Antibodies Work?,The recommended dosing regimen of Alhemo is: Day 1: Loading dose of 1 mg/kg Day 2: Once-daily dose of 0.2 mg/kg until individualization of maintenance dose,Alhemo (concizumab-mtci) is a tissue factor pathway inhibitor (TFPI) antagonist indicated for routine prophylaxis to prevent or reduce the frequency of bleeding episodes in adult and pediatric patients 12 years of age and older with hemophilia A (congenital factor VIII deficiency) with FVIII inhibitors or hemophilia B (congenital factor IX deficiency) with FIX inhibitors.,"Side effects of Alhemo include: injection site reactions (redness, bleeding, bruising) and hives. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/alhemo-drug.htm
Alimta (Pemetrexed),pemetrexed,"Antineoplastics, Antimetabolite",strengths of 100 and 500mg in vials,Alimta (pemetrexed) for Injection is a chemotherapy drug indicated for treatment of patients with locally advanced or metastatic non-squamous non-small cell lung cancer.,"Side effects of Alimta include: stomach upset, nausea, vomiting, loss of appetite, heartburn, diarrhea, constipation, tired feeling, hair loss, or itching or rash. Tell your doctor if you have serious side effects of Alimta including: fast or pounding heartbeat, changes in the amount of urine, dark urine, yellowing eyes or skin, severe stomach or abdominal pain, pain/redness/swelling of arms or legs, sore throat, painful or difficult swallowing, mental/mood changes, depression, numbness or tingling of the hands or feet, or easy bruising or bleeding. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/alimta-drug.htm
Alimumab-adaz Injection (Hyrimoz),alimumab-adaz injection,"DMARDs, TNF Inhibitors, Antipsoriatics, Systemic, Inflammatory Bowel Disease Agents",The dose of Hyrimoz depends on the condition being treated.,"Hyrimoz (adalimumab-adaz) is a tumor necrosis factor (TNF)-blocker biosimilar to Humira (adalimumab) indicated for treatment of rheumatoid arthritis (RA), juvenile idiopathic arthritis (JIA), psoriatic arthritis, ankylosing spondylitis, adult Crohn's disease, ulcerative colitis (UC), and plaque psoriasis.","Hyrimoz may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, fever, swollen glands, night sweats, feeling unwell, joint and muscle pain, skin rash, easy bruising, unusual bleeding, pale skin, lightheadedness, shortness of breath, cold hands and feet, pain in your upper stomach that may spread to your shoulder, loss of appetite, feeling of fullness, weight loss, new or worsening psoriasis, sore or bump that does not heal, body aches, tiredness, stomach pain, right-sided upper stomach pain, vomiting, loss of appetite, dark urine, clay-colored stools, yellowing of the skin or eyes (jaundice), joint pain or swelling, chest pain, shortness of breath, patchy skin color that worsens in sunlight, numbness or tingling, dizziness, vision problems, weakness in your arms or legs, fever with cough, and weight loss Get medical help right away, if you have any of the symptoms listed above. Common side effects of Hyrimoz include: infections (e.g. upper respiratory tract infection, sinusitis, urinary tract infection), injection site reactions (redness, itching, bleeding, pain or swelling), headache, rash, nausea, abdominal pain, or hypertension (high blood pressure) Get medical help right away, if you have any of the symptoms listed above.",https://www.rxlist.com/hyrimoz-drug.htm
Alinia (Nitazoxanide),nitazoxanide,Antiparasitic Agents,"Doses of Alinia vary according to age. Alinia is taken every 12 hours with food for 3 days. For patients age 1-3 years, 5 mL of Alinia for Oral Suspension (100 mg); patients age 4-11 years, 10 mL of A","Alinia (nitazoxanide) is an antiprotozoal agent used to treat diarrhea in adults and children caused by the protozoa Giardia lamblia, or the protozoa Cryptosporidium parvum. These protozoa are sometimes the cause of travelers' diarrhea. Alinia is generally well tolerated when taken as directed.","Alinia may cause serious side effects including: hives, difficulty breathing, and swelling of your face, lips, tongue or throat Get medical help right away, if you have any of the symptoms listed above. Side effects of Alinia are uncommon and may include: abdominal pain, nausea, diarrhea, vomiting, or headache. Serious allergic reactions to Alinia are unlikely, but seek immediate medical attention if you have rash, itching, swelling (especially of the face/tongue/throat), severe dizziness, or trouble breathing.",https://www.rxlist.com/alinia-drug.htm
"Aliqopa (Copanlisib for Injection, for Intravenous Use)","copanlisib for injection, for intravenous use",Antineoplastics PI3K Inhibitors,"The recommended dosage of Aliqopa is 60 mg administered as a 1-hour intravenous infusion on Days 1, 8, and 15 of a 28-day treatment cycle on an intermittent schedule (three weeks on and one week off).",Aliqopa (copanlisib) for injection is a kinase inhibitor indicated for the treatment of adult patients with relapsed follicular lymphoma (FL) who have received at least two prior systemic therapies.,"Common side effects of Aliqopa include: high blood sugar (hyperglycemia), diarrhea, decreased general strength and energy, high blood pressure (hypertension), low white blood cell count (leukopenia, neutropenia), nausea, lower respiratory tract infections, low platelet count (thrombocytopenia), swelling and sores inside the mouth, vomiting, and rash. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/aliqopa-drug.htm
Alirocumab for Solution for Subcutaneous Injection (Praluent),alirocumab for solution for subcutaneous injection,PCSK9 Inhibitors,The recommended starting dose for Praluent is 75 mg administered subcutaneously once every 2 weeks.,"Praluent (alirocumab) injection is a PCSK9 (Proprotein Convertase Subtilisin Kexin Type 9) inhibitor antibody indicated as adjunct to diet and maximally tolerated statin therapy for the treatment of adults with heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease, who require additional lowering of LDL-cholesterol (LDL-C).","Common side effects of Praluent include: sore throat and runny or stuffy nose (nasopharyngitis), injection site reactions (swelling, pain, itching, redness, tenderness), influenza, urinary tract infection, diarrhea, bronchitis, muscle pain or spasms, sinus infection, cough, bruising, allergic reactions, and elevated liver enzymes. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/praluent-drug.htm
Aliskiren and Amlodipine Tablets (Tekamlo),aliskiren and amlodipine tablets,"Antianginal Agents, Calcium Channel Blockers, Dihydropyridine, ARB/Renin Inhibitor Combos",The recommended initial once-daily dose of Tekamlo is 150 mg/5 mg.,Tekamlo (aliskiren and amlodipine) is a combination anti-hypertensive medication and a calcium channel blocker used to treat high blood pressure (hypertension).,"Texamlo may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, flushing, diarrhea, cough, and stomach pain Get medical help right away, if you have any of the symptoms listed above. Common side effects of Tekamlo include: dizziness or lightheadedness as your body adjusts to the medication.",https://www.rxlist.com/tekamlo-drug.htm
"Aliskiren and Valsartan, USP Tablets (Valturna)","aliskiren and valsartan, usp tablets","ARB/Renin Inhibitor Combos, ARB/Renin Inhibitor Combos",The recommended dosage of Valturna is based on your medical condition and response to treatment.,"Valturna (aliskircn and valsartan) is an angiotensin II receptor antagonist used to treat high blood pressure. Valturna was withdrawn from the U.S. market in 2012, due to concerns regarding possible side effects, especially in diabetics and those with kidney impairment.","Valturna may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, lightheadedness, slow heart rate, weak pulse, muscle weakness, and numbness or tingling Get medical help right away, if you have any of the symptoms listed above. Common side effects of Valturna (aliskircn and valsartan) include: diarrhea dizziness lightheadedness tiredness stuffy nose sore throat cough stomach pain or upset heartburn numbness or tingly feeling, or muscle cramps Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/valturna-drug.htm
Aliskiren Tablets (Tekturna),aliskiren tablets,"Renin Inhibitors, Renin Inhibitors/Combos","The usual recommended starting dose of Tekturna is 150 mg once daily. In patients whose blood pressure is not adequately controlled, the daily dose may be increased to 300 mg. It may be prescribed wit","Tekturna (aliskiren) is a renin inhibitor, which is an anti-hypertensive (blood pressure lowering) medication, used to treat high blood pressure (hypertension).","Tekturna may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, itching, vomiting, severe stomach pain, dizziness, chest tightness, lightheadedness, little or no urination, weakness, tingly feeling, irregular heartbeats, loss of movement, headache, confusion, slurred speech, severe weakness, loss of coordination, and feeling unsteady Get medical help right away, if you have any of the symptoms listed above. Common side effects of Tekturna include: upset stomach, heartburn, diarrhea, lightheadedness, cough, itching or skin rash, headache, dizziness, tired feeling, back pain, joint pain or swelling, stuffy nose, or sore throat. Tell your doctor if you have serious side effects of Tekturna including:",https://www.rxlist.com/tekturna-drug.htm
"Aliskiren, Amlodipine and Hydrochlorothiazide Tablets (Amturnide )","aliskiren, amlodipine and hydrochlorothiazide tablets","How Do Anti-anginal Agents Work?, Renin Inhibitors/Combos, Calcium Channel Blockers, Dihydropyridine",The dose of Amturnide is taken once-daily. The dosage may be increased after 2 weeks of therapy. The maximum recommended dose of Amturnide is 300/10/25 mg.,"Amturnide (aliskiren, amlodipine and hydrochlorothiazide) is a combination anti-hypertensive medication, a calcium channel blocker, and a diuretic used to treat high blood pressure (hypertension). Amturnide is usually given after other blood pressure medications have been tried without successful treatment of symptoms.","Amturnide may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, extreme thirst, very dry mouth, muscle cramps, weakness, fast, slow, or irregular heartbeat, confusion, decreased urination, fainting, severe tiredness, big toe or joint pain, swelling hands, ankles, or feet, muscle weakness, little or no urination, decrease in vision, eye pain, rash, itching, and severe dizziness Get medical help right away, if you have any of the symptoms listed above. Common side effects of Amturnide include dizziness or lightheadedness as your body adjusts to the medication. Other side effects of Amturnide include swelling of your hands/ankles/feet, flushing, headache, stuffy nose, sore throat, or diarrhea. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/amturnide-drug.htm
Aliskren and Hydrochlorothiazide Tablets (Tekturna HCT),aliskren and hydrochlorothiazide tablets,Renin Inhibitors/Combos,"The recommended once-daily doses of Tekturna HCT in order of increasing mean effect are 150/12.5 mg, 150/25 mg or 300/12.5 mg, and 300/25 mg.",Tekturna HCT (aliskiren and hydrochlorothiazide) is a combination of an anti-hypertensive (blood pressure lowering) medication and a thiazide diuretic (water pill) used to treat high blood pressure (hypertension).,"Tekturna HCT may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, lightheadedness, little or no urinating, eye pain, vision problems, nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement, leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness, limp feeling, headache, confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady, muscle or joint pain, fever, rash, and patchy skin color that worsens in sunlight Get medical help right away, if you have any of the symptoms listed above. Common side effects of Tekturna HCT include: dizziness, lightheadedness, spinning sensation, diarrhea, blurred vision, or cough as your body adjusts to the medication Other side effects of Tekturna HCT include stomach pain, indigestion, tired feeling, or flu symptoms.",https://www.rxlist.com/tekturna-hct-drug.htm
Alitretinoin (Panretin),alitretinoin,"Retinoid-like Agents, Topical,",Panretin gel should initially be applied two (2) times a day to cutaneous KS lesions. A sufficient dose of gel should be applied to cover the lesion with a generous coating. Panretin may interact with,Panretin (alitretinoin) Gel 0.1% is a topical (for the skin) retinoid used to treat skin lesions caused by AIDS-related Kaposi's sarcoma.,"Panretin may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, severe burning, pain, or irritation after using this medicine, blistering, drainage, oozing, and severe redness or swelling Get medical help right away, if you have any of the symptoms listed above. Serious side effects are not expected with Panretin Gel. Panretin may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, severe burning, pain, or irritation after using this medicine, blistering, drainage, oozing, and severe redness or swelling",https://www.rxlist.com/panretin-drug.htm
Alka-Seltzer (Calcium Carbonate),calcium carbonate,"Antacids, Antiemetic Agents, Antacids, Combos, Analgesic/Antihistamine/Antitussive Combos","The dose of Alka-Seltzer Original for adults and children 12 years and over is 2 tablets fully dissolved in 4 ounces of water every 4 hours, or as directed by a doctor.","Alka-Seltzer Original (anhydrous citric acid, aspirin, and sodium bicarbonate tablet, effervescent) is a combination of two antacids and an analgesic used for the temporary relief of heartburn, acid indigestion, and sour stomach when accompanied with headache or body aches and pains; upset stomach with headache from overindulgence in food or drink; and headache, body aches, and pain alone.","Side effects of Alka-Seltzer Original include: a severe allergic reaction to aspirin (hives, facial swelling, wheezing, shock) and stomach bleeding.",https://www.rxlist.com/alka-seltzer-drug.htm
Alkeran (Melphalan),melphalan,"Antineoplastics, Alkylating",2 mg tablets and should be administered only by a physician qualified in chemotherapy treatment,Alkeran (melphalan) is a drug prescribed for the treatment of multiple myeloma and ovarian cancer.,"Alkeran may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, itching, skin redness, blurred vision, lightheadedness, fast heartbeats, fever, chills, cough, pain or burning when you urinate, pale skin, unusual tiredness, shortness of breath, cold hands and feet, easy bruising, unusual bleeding, purple or red spots under your skin, sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste, severe ongoing nausea, vomiting, diarrhea, new or worsening cough, fever, unusual lumps or masses, missed menstrual periods, warmth or tingling, skin rash, headache, body aches, night sweats, weight loss, weakness, tiredness, loss of appetite, stomach pain (upper right side), dark urine, clay-colored stools, yellowing of the skin or eyes (jaundice), leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness, and limp feeling Get medical help right away, if you have any of the symptoms listed above. Side effects of Alkeran include: weight loss, loss of appetite, weakness, blistering skin or acne, nausea, vomiting, diarrhea, white patches or sores inside your mouth or on your lips, temporary hair loss, or skin itching and rash Severe side effects of Alkeran may occur.",https://www.rxlist.com/alkeran-drug.htm
Alkeran Injection (Melphalan Hcl Injection),melphalan hcl injection,"Antineoplastics, Alkylating",2 mg tablets and should be administered only by a physician qualified in chemotherapy treatment,Alkeran Injection (melphalan) is a drug prescribed for the treatment of multiple myeloma and ovarian cancer.,"Alkeran Injection may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, itching, skin redness, blurred vision, lightheadedness, fast heartbeats, fever, chills, pain or burning when you urinate, pale skin, unusual tiredness, shortness of breath, cold hand and feet, easy bruising, unusual bleeding, purple or red spots under your skin, sores or white patches in or around your mouth, trouble swallowing or talking, dry mouth, bad breath, altered sense of taste, severe ongoing nausea, vomiting, diarrhea, new or worsening cough, unusual lumps or masses, missed menstrual periods, warmth or tingling, skin rash, headache, body aches, night sweats, weight loss, weakness, tiredness, loss of appetite, stomach pain (upper right side), dark urine, clay-colored stools, yellowing of the skin or eyes (jaundice), leg cramps, constipation, irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness, and limp feeling Get medical help right away, if you have any of the symptoms listed above. Side effects of Alkeran Injection include: weight loss, loss of appetite, weakness, blistering skin or acne, nausea, vomiting, diarrhea, white patches or sores inside your mouth or on your lips, temporary hair loss, or skin itching and rash Severe side effects of Alkeran Injection may occur.",https://www.rxlist.com/alkeran-injection-drug.htm
Alkindi Sprinkle (Hydrocortisone Oral Granules),hydrocortisone oral granules,Corticosteroids,The recommended starting replacement dosage of Alkindi Sprinkle is 8 to 10 mg/m2 daily. Higher doses may be needed based on patient's age and symptoms of the disease. Use of lower starting doses may b,Alkindi Sprinkle (hydrocortisone) is a corticosteroid indicated as replacement therapy in pediatric patients with adrenocortical insufficiency.,"Alkindi Sprinkle may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, worsening of your skin condition, redness, warmth, swelling, oozing, or severe irritation of any treated skin, increased thirst, increased urination, dry mouth, fruity breath odor, weight gain (especially in your face or your upper back and torso), slow wound healing, thinning or discolored skin, increased body hair, muscle weakness, nausea, diarrhea, tiredness, mood changes, menstrual changes, and sexual changes Get medical help right away, if you have any of the symptoms listed above. Side effects of Alkindi Sprinkle include: fluid retention, alteration in glucose tolerance, elevation in blood pressure, behavioral and mood changes, increased appetite, and weight gain Seek medical care or call 911 at once if you have the following serious side effects:",https://www.rxlist.com/alkindi-sprinkle-drug.htm
Allegra (Fexofenadine Hcl),fexofenadine hcl,"Antihistamines, 2nd Generation, Dermatologics, Other, Antihistamine/Decongestant Combos,","several strengths and forms; as tablets in strengths of 30, 60 and 180 mg, as 30 mg fast orally disintegrating tablets (available in foil blister packs and labeled ""ODT""; the drug should not be touched by skin as it may begin to dissolve and reduce the oral dose) and as an oral suspension of 30mg per 5 ml","Allegra (fexofenadine hydrochloride) is an antihistamine used to treat allergic symptoms of seasonal allergic rhinitis, including: sneezing, runny nose, itchy or watery eyes, and urticaria (hives) Allegra is available as a generic drug.","Common side effects of Allegra include: nausea, diarrhea, upset stomach, muscle or back discomfort or pain, sleepiness, drowsiness, tiredness, headache, and menstrual cramps. Contact your doctor if you have serious but less common side effects of Allegra including: allergic reactions, fever, chills, body aches, cough, or other flu symptoms. Allegra may cause serious side effects including: hives, difficulty breathing, swelling of your face, lips, tongue, or throat, fever, chills, body aches, cough, and flu-like symptoms",https://www.rxlist.com/allegra-drug.htm
Allegra-D (Fexofenadine HCl and Pseudoephedrine HCl),fexofenadine hcl and pseudoephedrine hcl,"Antihistamine/Decongestant Combos,","The recommended dose of Allegra-D 12 Hour Extended-Release Tablets is one tablet twice daily taken on an empty stomach with water, for adults and children 12 years of age and older.","Allegra-D (fexofenadine hcl and pseudoephedrine hcl) is a combination of an antihistamine and a decongestant used to treat sneezing, cough, runny or stuffy nose, itchy or watery eyes, hives, skin rash, itching, and other symptoms of allergies and the common cold. Allegra-D is available in generic form and over-the-counter.","Common side effects of Allegra-D include: nausea, stomach upset or pain, loss of appetite, constipation, trouble sleeping (insomnia), headache, dizziness, nervousness, dry mouth, feeling restless or excited (especially in children), skin rash or itching, drowsiness, problems with memory or concentration, or ringing in your ears. Tell your doctor if you have serious side effects of Allegra-D including: fast/irregular/pounding heartbeat, shaking (tremors), mental/mood changes (such as anxiety, confusion, nervousness, restlessness), or problems urinating. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/allegra-d-drug.htm
Allegra-D 24 Hour (Fexofenadine HCl 180 and Pseudoephendrine HCl 240),fexofenadine hcl 180 and pseudoephendrine hcl 240,Antihistamine/Decongestant Combos,The recommended dose of Allegra-D 24 Hour is one tablet once daily administered on an empty stomach with water for adults and children 12 years of age and older.,"Allegra-D 24 Hour (fexofenadine hcl 180 and pseudoephendrine hcl 240) is a combination of an antihistamine and a decongestant used to treat sneezing, cough, runny or stuffy nose, itchy or watery eyes, hives, skin rash, itching, and other symptoms of allergies and the common cold. Allegra-D 24 Hour is available over-the-counter and in generic forms.","Common side effects of Allegra-D 24 Hour include: nausea, stomach pain or upset, loss of appetite, constipation, trouble sleeping (insomnia), headache, dizziness, nervousness, dry mouth, skin rash or itching, drowsiness, problems with memory or concentration, restlessness or excitability (especially in children), or ringing in your ears. Tell your doctor if you have serious side effects of Allegra-D 24 Hour including: fast/irregular/pounding heartbeat, shaking (tremor), mental/mood changes (such as anxiety, confusion, nervousness, restlessness), or problems urinating. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out; Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.",https://www.rxlist.com/allegra-d-24-hour-drug.htm
"Allergenics Extracts Alum Precipitated Injection, Suspension (Center-Al)","allergenics extracts alum precipitated injection, suspension",,"A treatment schedule is related directly to the patient's degree of sensitivity, determined initially by clinical history and skin testing, and continuously by response to therapeutic doses. Thus, an","Center-Al (allergenic extracts, alum precipitated) is a treatment for patients exhibiting allergic reactions to seasonal pollens, dust mites, molds, animal danders, and various other inhalants, in situations where the offending allergen cannot be avoided. Common side effects of Center-Al include:",,https://www.rxlist.com/center-al-drug.htm
Allernaze (Triamcinolone Acetonide Nasal Spray),triamcinolone acetonide nasal spray,,The recommended starting dose of AllerNaze for most patients is 200 mcg per day given as 2 sprays (approximately 50 mcg/spray) in each nostril once a day.,"AllerNaze (triamcinolone acetonide) Nasal Spray is a corticosteroid used to treat the nasal symptoms of seasonal and perennial allergic rhinitis in adults and children 12 years of age or older. The brand name AllerNaze Nasal Spray is discontinued, but generic versions may be available.","Common side effects of AllerNaze (triamcinolone acetonide) Nasal Spray include: application site reaction (nasal burning and stinging runny or stuffy nose menstrual pain, and allergic reactions",https://www.rxlist.com/allernaze-drug.htm
Alli (Orlistat 60 mg),orlistat 60 mg,"Gastrointestinal Agents, Other","The recommended dose of Alli for overweight adults 18 years and older is 1 60-mg capsule with each meal containing fat, not to exceed 3 capsules daily. Use with a reduced-calorie, low-fat diet.","Alli (orlistat) Capsules works by blocking absorption of 25% of the fat in a meal and is used for weight loss in overweight adults, 18 years and older, when used along with a reduced-calorie and low-fat diet.","Common side effects of Alli include: changes in your bowel function because of the unabsorbed fat, fatty/oily stool, oily spotting in your undergarments, orange or brown colored oil in your stool, intestinal gas with discharge, loose stools, a feeling of needing to have a bowel movement right away, increased number of bowel movements, poor bowel control, stomach pain, nausea, vomiting, diarrhea, or rectal pain. These side effects of Alli may worsen if you eat more fat than you should. Other side effects of Alli include: weakness, dark urine, clay-colored stools, itching, loss of appetite, jaundice (yellowing of the skin or eyes), problems with your teeth or gums, cold symptoms (stuffy nose, sneezing, cough), fever, chills, sore throat, flu symptoms, headache, back pain, or skin rash. Stop taking Alli and tell your doctor if you have rare but serious side effects including: symptoms of liver disease (such as persistent nausea and vomiting, severe stomach or abdominal pain, dark urine, yellowing eyes or skin), or symptoms of kidney stones (such as back pain, pain when urinating, pink or bloody urine).",https://www.rxlist.com/alli-drug.htm
Allocord (Cord Blood Injectable Suspension for Intravenous Use),cord blood injectable suspension for intravenous use,,The recommended minimum dose of Allocord is 2.5 x 107 nucleated cells/kg at cryopreservation.,"Allocord (human cord blood hematopoietic progenitor cell injection) is an allogeneic cord blood hematopoietic progenitor cell therapy indicated for use in unrelated donor hematopoietic progenitor cell trans plantation procedures in conjunction with an appropriate preparative regimen for hematopoietic and immunologic reconstitution in patients with dis orders affecting the hematopoietic system that are inherited, acquired, or result from myeloablative treatment.","Common side effects of Allocord include: high blood pressure (hypertension), vomiting, nausea, slow heart rate, fever, hypersensitivity reactions (bronchospasm, wheezing, skin swelling, itching, and hives), rigors or chills, flushing, shortness of breath, chest pain, blood in the urine, low blood oxygen, fast heart rate, changes in taste, and mild headache",https://www.rxlist.com/allocord-drug.htm
Allogeneic Cultured Keratinocytes and Fibroblasts (Stratagraft),allogeneic cultured keratinocytes and fibroblasts,Topical Skin Products,Stratagraft is applied to a surgically prepared wound bed. The number of Stratagraft constructs applied will vary depending on the size of the wound bed. Stratagraft constructs may be trimmed to accom,Stratagraft (allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen-dsat) is an allogeneic cellularized scaffold product indicated for the treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns).,"Side effects of Stratagraft include: itching, blisters, a thick, raised scar, and impaired healing. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/stratagraft-drug.htm
Allogeneic Cultured Keratinocytes and Fibroblasts in Bovine Collagen Cellular Sheet for Topical Oral Application (Gintuit),allogeneic cultured keratinocytes and fibroblasts in bovine collagen cellular sheet for topical oral application,"Dental, Other",Gintuit is used as one application over a surgically created vascular wound bed in the oral cavity. The size of Gintuit is adjusted for the size of the wound bed.,Gintuit (allogeneic cultured keratinocytes and fibroblasts in bovine collagen) is an allogeneic cellularized scaffold product indicated for topical (non-submerged) application to a surgically created vascular wound bed in the treatment of mucogingival conditions in adults.,"Side effects of Gintuit include: sinus infection (sinusitis), runny or stuffy nose, respiratory tract infection, canker sores, mouth pain, and the local effects of oral surgery. Seek medical care or call 911 at once if you have the following serious side effects: Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights; Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out; Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors. This document does not contain all possible side effects and others may occur. Check with your physician for additional information about side effects.",https://www.rxlist.com/gintuit-drug.htm
